tanggal_realisasi,bus_body_no,rute_realisasi
2025-11-11,BRT 169B,PSR
2025-11-02,SMB336B,LGS
2025-11-13,KRW 224,CKR
2025-11-08,TJK 119,SMB
2025-11-07,LGS40B,LGS
2025-11-02,BRT 452,TNJ
2025-11-14,LGS 355A,TNJ
2025-11-03,LGS450,TNJ
2025-11-09,SMB_372,BRT
2025-11-12,KRW 20,BRT
2025-11-04,BRT_100,TNJ
2025-11-07,TJK_42,LGS
2025-11-13,BRT417,LGS
2025-11-11,BRT 70,BRT
2025-11-12,LGS339A,TNJ
2025-11-02,KRW 131,TNJ
2025-11-04,TJK 261,KRW
2025-11-14,SMB_253,TJK
2025-11-01,KRW_394,DPK
2025-11-02,TJK_287,SMB
2025-11-02,LGS 337,CKR
2025-11-12,BRT_263B,KRW
2025-11-11,LGS_65,SMB
2025-11-03,BRT 80,LGS
2025-11-04,TJK_351,KRW
2025-11-03,BRT 68,PSR
2025-11-12,LGS_130,BRT
2025-11-06,BRT 139,LGS
2025-11-07,SMB426,PSR
2025-11-08,SMB 5,CKR
2025-11-01,SMB289,TJK
2025-11-09,SMB372,DPK
2025-11-05,SMB_270,SMB
2025-11-03,SMB_128,BRT
2025-11-10,SMB_348,TNJ
2025-11-07,LGS465A,LGS
2025-11-13,SMB_441,TNJ
2025-11-14,SMB_374,DPK
2025-11-05,SMB_25A,DPK
2025-11-01,SMB81,DPK
2025-11-09,TJK_366,PSR
2025-11-08,BRT_268,PSR
2025-11-10,KRW_352,TJK
2025-11-14,LGS292,TNJ
2025-11-05,SMB 254A,PSR
2025-11-01,LGS 379,TJK
2025-11-03,SMB_182,BRT
2025-11-03,KRW103B,LGS
2025-11-04,TJK 490,KRW
2025-11-14,KRW486,PSR
2025-11-08,SMB_456,CKR
2025-11-07,KRW144B,PSR
2025-11-01,BRT_496,BKS
2025-11-14,BRT_116,DPK
2025-11-02,LGS_388,PSR
2025-11-03,TJK90,TNJ
2025-11-02,TJK62A,BKS
2025-11-05,TJK_425,PSR
2025-11-07,SMB353B,LGS
2025-11-08,KRW_22A,BKS
2025-11-01,KRW_188,KRW
2025-11-14,TJK436,DPK
2025-11-14,LGS13,DPK
2025-11-08,SMB 257,LGS
2025-11-10,KRW74,TJK
2025-11-11,TJK 65,BRT
2025-11-10,BRT_342,PSR
2025-11-03,SMB_266,BRT
2025-11-01,LGS435B,PSR
2025-11-02,TJK_179,DPK
2025-11-06,LGS57A,BRT
2025-11-08,TJK239,LGS
2025-11-07,SMB 336A,TJK
2025-11-01,LGS223,CKR
2025-11-14,SMB235,TJK
2025-11-09,LGS442,SMB
2025-11-12,KRW 359,DPK
2025-11-01,LGS_475,SMB
2025-11-05,BRT_268,BRT
2025-11-14,SMB_114,PSR
